fold01,fold02,fold03,fold04,fold05,fold06,fold07,fold08,fold09,fold10
14,1,10,3,0,19,28,4,12,6
20,7,16,9,2,22,40,5,41,42
32,8,24,21,17,27,61,11,51,43
45,13,26,23,33,35,66,15,60,78
58,18,30,25,54,47,87,37,68,79
59,34,38,29,65,50,103,39,86,82
62,36,49,31,72,55,112,48,96,118
105,46,53,44,74,76,113,64,97,123
119,56,57,52,83,84,122,67,101,138
120,90,80,63,93,102,126,69,142,144
121,94,91,71,95,104,131,70,151,158
127,106,92,77,98,107,157,73,152,162
143,109,128,81,100,108,160,75,153,176
147,116,137,88,110,149,163,85,155,190
180,117,140,89,115,169,167,99,159,203
189,132,156,114,129,179,196,111,168,218
197,141,171,136,145,181,198,124,184,223
200,150,172,177,146,185,212,125,186,234
202,173,178,191,148,217,227,130,188,255
211,175,187,222,165,263,229,133,193,259
214,182,204,228,166,268,230,134,194,262
266,195,205,235,207,284,249,135,201,264
269,206,216,243,209,305,254,139,210,271
270,213,219,247,221,322,256,154,215,273
306,248,225,251,238,324,277,161,224,274
311,250,226,257,242,332,280,164,233,282
316,267,237,260,258,353,295,170,236,288
317,279,253,281,276,360,301,174,244,289
328,283,261,298,290,363,315,183,245,355
343,292,272,299,293,369,326,192,246,371
346,296,285,303,302,382,329,199,252,393
348,320,300,307,304,388,339,208,265,401
356,334,308,318,309,402,349,220,286,404
387,337,312,319,323,412,378,231,291,413
391,342,313,321,345,419,400,232,294,417
395,344,325,327,357,424,408,239,330,429
403,350,340,333,359,426,415,240,335,441
438,352,351,338,364,430,420,241,341,462
440,366,354,347,379,435,427,275,361,469
446,370,358,365,380,436,433,278,372,474
453,390,373,385,383,443,448,287,374,478
464,394,376,392,397,451,466,297,381,485
482,407,377,409,398,463,480,310,384,509
484,421,389,414,425,465,483,314,386,515
489,428,416,418,432,488,493,331,437,516
491,434,431,422,447,490,496,336,442,518
495,444,449,439,454,494,550,362,459,534
499,445,457,450,473,501,570,367,460,537
505,452,467,545,476,508,595,368,468,538
510,456,470,560,479,511,610,375,486,539
514,461,471,565,503,522,615,396,492,552
519,472,477,574,506,524,616,399,497,582
521,481,487,598,535,531,620,405,549,583
523,500,498,601,536,547,621,406,564,587
527,507,502,602,540,573,633,410,566,617
528,512,504,611,543,580,640,411,567,626
529,520,526,614,551,585,641,423,569,653
557,525,541,630,554,599,642,455,577,654
558,530,578,631,555,606,646,458,581,692
572,532,579,636,559,609,650,475,600,699
575,533,588,645,563,627,660,513,612,703
586,542,589,647,584,635,661,517,628,714
592,544,591,664,590,657,670,548,638,725
603,546,605,680,593,666,671,556,639,742
607,553,608,682,597,672,673,562,648,758
618,561,622,695,619,691,678,576,649,760
634,568,629,713,625,721,679,623,651,763
644,571,656,717,643,729,683,632,655,765
652,594,681,718,659,762,684,637,658,774
662,596,696,722,665,767,709,674,663,775
694,604,697,749,668,772,710,676,667,778
702,613,704,764,675,802,720,689,685,784
711,624,707,776,686,814,723,706,690,786
712,669,732,789,687,819,734,708,700,790
726,677,738,806,693,820,739,719,715,792
747,688,741,811,698,827,740,724,735,794
795,716,743,826,701,836,748,727,745,804
796,728,746,837,705,840,755,737,754,808
797,730,751,844,733,847,759,744,757,810
798,731,753,845,736,852,793,756,761,829
812,750,768,856,752,867,805,766,777,843
815,769,779,859,773,872,807,770,782,846
818,801,785,860,781,887,854,771,787,850
841,813,788,866,783,889,868,780,816,851
849,822,791,873,800,900,871,799,817,861
858,825,821,876,842,916,901,803,824,862
864,830,831,891,857,917,929,809,828,869
865,832,835,893,863,919,931,823,834,878
870,839,848,903,875,933,932,833,853,899
874,855,881,906,879,935,945,838,885,914
886,877,882,908,884,937,946,880,888,924
890,883,894,909,897,941,947,892,904,934
895,902,896,927,905,950,952,910,912,953
898,926,911,928,930,962,957,913,936,954
907,943,915,938,951,966,965,920,940,975
944,958,918,942,967,969,968,921,955,978
960,971,923,948,974,972,970,922,959,979
973,983,939,956,980,984,976,925,963,987
990,986,961,989,993,988,977,949,981,991
995,994,964,992,999,997,985,982,996,998
