model_num,model_class,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,monotonic_cst,random_state,splitter,fold,time_train,model_size,time_pred,accuracy_score_train,f1_score_train,precision_score_train,recall_score_train,roc_auc_score_train,accuracy_score_test,f1_score_test,precision_score_test,recall_score_test,roc_auc_score_test
0.0,DecisionTreeClassifier,0.0,,gini,,,2,0,1,2,0.0,,20,best,4.5,0.00519836,1958.0,0.00203102,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
1.0,DecisionTreeClassifier,0.0,,gini,,,2,0.01,1,2,0.0,,20,best,4.5,0.00574389,1965.0,0.00264142,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
2.0,DecisionTreeClassifier,0.0,,gini,,,2,0.1,1,2,0.0,,20,best,4.5,0.00465915,1805.0,0.00249555,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
3.0,DecisionTreeClassifier,0.0,,entropy,,,2,0,1,2,0.0,,20,best,4.5,0.00561891,1961.0,0.0024498,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
4.0,DecisionTreeClassifier,0.0,,entropy,,,2,0.01,1,2,0.0,,20,best,4.5,0.00592253,1968.0,0.00246763,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
5.0,DecisionTreeClassifier,0.0,,entropy,,,2,0.1,1,2,0.0,,20,best,4.5,0.00478134,1808.0,0.00246091,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
6.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0,1,2,0.0,,20,best,4.5,0.00587838,1962.0,0.0025193,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
7.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0.01,1,2,0.0,,20,best,4.5,0.00584674,1969.0,0.00252407,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
8.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0.1,1,2,0.0,,20,best,4.5,0.00486746,1809.0,0.0023953,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
9.0,DecisionTreeClassifier,0.0,,gini,,,2,0,1,2,0.0,,21,best,4.5,0.00539951,1958.0,0.00237212,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
10.0,DecisionTreeClassifier,0.0,,gini,,,2,0.01,1,2,0.0,,21,best,4.5,0.00571628,1965.0,0.00282373,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
11.0,DecisionTreeClassifier,0.0,,gini,,,2,0.1,1,2,0.0,,21,best,4.5,0.00468569,1805.0,0.00257192,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
12.0,DecisionTreeClassifier,0.0,,entropy,,,2,0,1,2,0.0,,21,best,4.5,0.00575333,1961.0,0.00251195,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
13.0,DecisionTreeClassifier,0.0,,entropy,,,2,0.01,1,2,0.0,,21,best,4.5,0.0071677,1968.0,0.00285392,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
14.0,DecisionTreeClassifier,0.0,,entropy,,,2,0.1,1,2,0.0,,21,best,4.5,0.00470235,1808.0,0.00250988,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
15.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0,1,2,0.0,,21,best,4.5,0.00607846,1962.0,0.00255868,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
16.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0.01,1,2,0.0,,21,best,4.5,0.00604453,1969.0,0.00248461,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
17.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0.1,1,2,0.0,,21,best,4.5,0.00460787,1809.0,0.00233252,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
18.0,DecisionTreeClassifier,0.0,,gini,,,2,0,1,2,0.0,,20,random,4.5,0.00471222,1960.0,0.00242286,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
19.0,DecisionTreeClassifier,0.0,,gini,,,2,0.01,1,2,0.0,,20,random,4.5,0.00478153,1967.0,0.00248485,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
20.0,DecisionTreeClassifier,0.0,,gini,,,2,0.1,1,2,0.0,,20,random,4.5,0.00452161,1807.0,0.0023212,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
21.0,DecisionTreeClassifier,0.0,,entropy,,,2,0,1,2,0.0,,20,random,4.5,0.00494394,1963.0,0.00269787,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
22.0,DecisionTreeClassifier,0.0,,entropy,,,2,0.01,1,2,0.0,,20,random,4.5,0.00466952,1970.0,0.00239718,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
23.0,DecisionTreeClassifier,0.0,,entropy,,,2,0.1,1,2,0.0,,20,random,4.5,0.00424817,1810.0,0.00233755,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
24.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0,1,2,0.0,,20,random,4.5,0.00551319,1964.0,0.00242479,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
25.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0.01,1,2,0.0,,20,random,4.5,0.00506382,1971.0,0.00230718,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
26.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0.1,1,2,0.0,,20,random,4.5,0.00421741,1811.0,0.00231581,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
27.0,DecisionTreeClassifier,0.0,,gini,,,2,0,1,2,0.0,,21,random,4.5,0.00460582,1960.0,0.00229487,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
28.0,DecisionTreeClassifier,0.0,,gini,,,2,0.01,1,2,0.0,,21,random,4.5,0.00473385,1967.0,0.00237551,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
29.0,DecisionTreeClassifier,0.0,,gini,,,2,0.1,1,2,0.0,,21,random,4.5,0.00422678,1807.0,0.00228121,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
30.0,DecisionTreeClassifier,0.0,,entropy,,,2,0,1,2,0.0,,21,random,4.5,0.00489416,1963.0,0.00241191,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
31.0,DecisionTreeClassifier,0.0,,entropy,,,2,0.01,1,2,0.0,,21,random,4.5,0.00475028,1970.0,0.00249887,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
32.0,DecisionTreeClassifier,0.0,,entropy,,,2,0.1,1,2,0.0,,21,random,4.5,0.00419185,1810.0,0.00236642,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
33.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0,1,2,0.0,,21,random,4.5,0.00553565,1964.0,0.00267315,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
34.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0.01,1,2,0.0,,21,random,4.5,0.00486128,1971.0,0.00231607,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
35.0,DecisionTreeClassifier,0.0,,log_loss,,,2,0.1,1,2,0.0,,21,random,4.5,0.0041611,1811.0,0.00228615,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
36.0,DecisionTreeClassifier,0.0,,gini,,,3,0,1,2,0.0,,20,best,4.5,0.00569401,2121.0,0.00233228,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
37.0,DecisionTreeClassifier,0.0,,gini,,,3,0.01,1,2,0.0,,20,best,4.5,0.00591798,2128.0,0.00290294,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
38.0,DecisionTreeClassifier,0.0,,gini,,,3,0.1,1,2,0.0,,20,best,4.5,0.00449264,1805.0,0.00245821,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
39.0,DecisionTreeClassifier,0.0,,entropy,,,3,0,1,2,0.0,,20,best,4.5,0.00592897,2124.0,0.00240352,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
40.0,DecisionTreeClassifier,0.0,,entropy,,,3,0.01,1,2,0.0,,20,best,4.5,0.00596583,2131.0,0.00236628,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
41.0,DecisionTreeClassifier,0.0,,entropy,,,3,0.1,1,2,0.0,,20,best,4.5,0.00471711,1808.0,0.00233655,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
42.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0,1,2,0.0,,20,best,4.5,0.00605302,2125.0,0.00243857,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
43.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0.01,1,2,0.0,,20,best,4.5,0.00596371,2132.0,0.00241387,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
44.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0.1,1,2,0.0,,20,best,4.5,0.00453503,1809.0,0.00227966,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
45.0,DecisionTreeClassifier,0.0,,gini,,,3,0,1,2,0.0,,21,best,4.5,0.00569837,2121.0,0.0024771,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
46.0,DecisionTreeClassifier,0.0,,gini,,,3,0.01,1,2,0.0,,21,best,4.5,0.00568767,2128.0,0.00231361,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
47.0,DecisionTreeClassifier,0.0,,gini,,,3,0.1,1,2,0.0,,21,best,4.5,0.00447266,1805.0,0.00233688,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
48.0,DecisionTreeClassifier,0.0,,entropy,,,3,0,1,2,0.0,,21,best,4.5,0.00612969,2124.0,0.00237508,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
49.0,DecisionTreeClassifier,0.0,,entropy,,,3,0.01,1,2,0.0,,21,best,4.5,0.00596008,2131.0,0.00235291,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
50.0,DecisionTreeClassifier,0.0,,entropy,,,3,0.1,1,2,0.0,,21,best,4.5,0.00451283,1808.0,0.00228703,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
51.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0,1,2,0.0,,21,best,4.5,0.00590544,2125.0,0.00233743,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
52.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0.01,1,2,0.0,,21,best,4.5,0.00596602,2132.0,0.00237856,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
53.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0.1,1,2,0.0,,21,best,4.5,0.00460701,1809.0,0.002317,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
54.0,DecisionTreeClassifier,0.0,,gini,,,3,0,1,2,0.0,,20,random,4.5,0.00489655,2123.0,0.00241113,0.71322222,0.8235206,0.72420646,0.95587302,0.55145503,0.707,0.82047203,0.71884173,0.95714286,0.5402381
55.0,DecisionTreeClassifier,0.0,,gini,,,3,0.01,1,2,0.0,,20,random,4.5,0.00463769,1967.0,0.00237222,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
56.0,DecisionTreeClassifier,0.0,,gini,,,3,0.1,1,2,0.0,,20,random,4.5,0.00423119,1807.0,0.00241039,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
57.0,DecisionTreeClassifier,0.0,,entropy,,,3,0,1,2,0.0,,20,random,4.5,0.00511336,2126.0,0.00251002,0.70188889,0.82354581,0.70341615,0.99380952,0.50727513,0.701,0.82293748,0.70303371,0.99285714,0.50642857
58.0,DecisionTreeClassifier,0.0,,entropy,,,3,0.01,1,2,0.0,,20,random,4.5,0.00491714,2133.0,0.00239906,0.70188889,0.82354581,0.70341615,0.99380952,0.50727513,0.701,0.82293748,0.70303371,0.99285714,0.50642857
59.0,DecisionTreeClassifier,0.0,,entropy,,,3,0.1,1,2,0.0,,20,random,4.5,0.00419908,1810.0,0.00237169,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
60.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0,1,2,0.0,,20,random,4.5,0.00493553,2127.0,0.00234849,0.70188889,0.82354581,0.70341615,0.99380952,0.50727513,0.701,0.82293748,0.70303371,0.99285714,0.50642857
61.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0.01,1,2,0.0,,20,random,4.5,0.00505185,2134.0,0.00236201,0.70188889,0.82354581,0.70341615,0.99380952,0.50727513,0.701,0.82293748,0.70303371,0.99285714,0.50642857
62.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0.1,1,2,0.0,,20,random,4.5,0.00420778,1811.0,0.00229669,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
63.0,DecisionTreeClassifier,0.0,,gini,,,3,0,1,2,0.0,,21,random,4.5,0.0049145,2123.0,0.00231216,0.71333333,0.82424744,0.72276084,0.96031746,0.54867725,0.709,0.82169902,0.719917,0.95857143,0.54261905
64.0,DecisionTreeClassifier,0.0,,gini,,,3,0.01,1,2,0.0,,21,random,4.5,0.00465252,1967.0,0.00252941,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
65.0,DecisionTreeClassifier,0.0,,gini,,,3,0.1,1,2,0.0,,21,random,4.5,0.00542753,1807.0,0.00273204,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
66.0,DecisionTreeClassifier,0.0,,entropy,,,3,0,1,2,0.0,,21,random,4.5,0.00489433,2126.0,0.00234408,0.70188889,0.82354581,0.70341615,0.99380952,0.50727513,0.701,0.82293748,0.70303371,0.99285714,0.50642857
67.0,DecisionTreeClassifier,0.0,,entropy,,,3,0.01,1,2,0.0,,21,random,4.5,0.00486846,2133.0,0.00236967,0.70188889,0.82354581,0.70341615,0.99380952,0.50727513,0.701,0.82293748,0.70303371,0.99285714,0.50642857
68.0,DecisionTreeClassifier,0.0,,entropy,,,3,0.1,1,2,0.0,,21,random,4.5,0.00420461,1810.0,0.00229082,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
69.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0,1,2,0.0,,21,random,4.5,0.00486388,2127.0,0.0023427,0.70188889,0.82354581,0.70341615,0.99380952,0.50727513,0.701,0.82293748,0.70303371,0.99285714,0.50642857
70.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0.01,1,2,0.0,,21,random,4.5,0.0052109,2134.0,0.00235713,0.70188889,0.82354581,0.70341615,0.99380952,0.50727513,0.701,0.82293748,0.70303371,0.99285714,0.50642857
71.0,DecisionTreeClassifier,0.0,,log_loss,,,3,0.1,1,2,0.0,,21,random,4.5,0.00425205,1811.0,0.00235677,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
72.0,DecisionTreeClassifier,0.0,,gini,,,4,0,1,2,0.0,,20,best,4.5,0.00597029,2281.0,0.00239692,0.72933333,0.82094303,0.76688015,0.89015873,0.6221164,0.699,0.80187611,0.74558101,0.87285714,0.58309524
73.0,DecisionTreeClassifier,0.0,,gini,,,4,0.01,1,2,0.0,,20,best,4.5,0.0059885,2128.0,0.00247869,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
74.0,DecisionTreeClassifier,0.0,,gini,,,4,0.1,1,2,0.0,,20,best,4.5,0.00436733,1805.0,0.00238285,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
75.0,DecisionTreeClassifier,0.0,,entropy,,,4,0,1,2,0.0,,20,best,4.5,0.00633187,2284.0,0.00233135,0.72311111,0.81665281,0.76319603,0.88492063,0.61523809,0.698,0.80115764,0.74402758,0.87285714,0.58142857
76.0,DecisionTreeClassifier,0.0,,entropy,,,4,0.01,1,2,0.0,,20,best,4.5,0.00627375,2291.0,0.00238709,0.72311111,0.81665281,0.76319603,0.88492063,0.61523809,0.698,0.80115764,0.74402758,0.87285714,0.58142857
77.0,DecisionTreeClassifier,0.0,,entropy,,,4,0.1,1,2,0.0,,20,best,4.5,0.00470974,1808.0,0.00243249,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
78.0,DecisionTreeClassifier,0.0,,log_loss,,,4,0,1,2,0.0,,20,best,4.5,0.00628915,2285.0,0.00239854,0.72311111,0.81665281,0.76319603,0.88492063,0.61523809,0.698,0.80115764,0.74402758,0.87285714,0.58142857
79.0,DecisionTreeClassifier,0.0,,log_loss,,,4,0.01,1,2,0.0,,20,best,4.5,0.00626726,2292.0,0.00234253,0.72311111,0.81665281,0.76319603,0.88492063,0.61523809,0.698,0.80115764,0.74402758,0.87285714,0.58142857
80.0,DecisionTreeClassifier,0.0,,log_loss,,,4,0.1,1,2,0.0,,20,best,4.5,0.00460811,1809.0,0.0023629,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
81.0,DecisionTreeClassifier,0.0,,gini,,,4,0,1,2,0.0,,21,best,4.5,0.00610218,2281.0,0.0023772,0.72933333,0.82094303,0.76688015,0.89015873,0.6221164,0.699,0.80187611,0.74558101,0.87285714,0.58309524
82.0,DecisionTreeClassifier,0.0,,gini,,,4,0.01,1,2,0.0,,21,best,4.5,0.0057678,2128.0,0.00240018,0.72133333,0.81567131,0.76143428,0.88460317,0.61248677,0.697,0.80054787,0.74373117,0.87142857,0.58071428
83.0,DecisionTreeClassifier,0.0,,gini,,,4,0.1,1,2,0.0,,21,best,4.5,0.0044522,1805.0,0.00238209,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
84.0,DecisionTreeClassifier,0.0,,entropy,,,4,0,1,2,0.0,,21,best,4.5,0.00635028,2284.0,0.00236468,0.72311111,0.81665281,0.76319603,0.88492063,0.61523809,0.698,0.80115764,0.74402758,0.87285714,0.58142857
85.0,DecisionTreeClassifier,0.0,,entropy,,,4,0.01,1,2,0.0,,21,best,4.5,0.00638874,2291.0,0.00252891,0.72311111,0.81665281,0.76319603,0.88492063,0.61523809,0.698,0.80115764,0.74402758,0.87285714,0.58142857
86.0,DecisionTreeClassifier,0.0,,entropy,,,4,0.1,1,2,0.0,,21,best,4.5,0.00466499,1808.0,0.00235386,0.7,0.82352941,0.7,1.0,0.5,0.7,0.82352941,0.7,1.0,0.5
87.0,DecisionTreeClassifier,0.0,,log_loss,,,4,0,1,2,0.0,,21,best,4.5,0.00628083,2285.0,0.00238535,0.72311111,0.81665281,0.76319603,0.88492063,0.61523809,0.698,0.80115764,0.74402758,0.87285714,0.58142857
