model_num,optimizer,units,activation,kernel_regularizer,fold,epoch,loss,val_loss,time_train,accuracy_score_train,f1_score_train,precision_score_train,recall_score_train,roc_auc_score_train,accuracy_score_test,f1_score_test,precision_score_test,recall_score_test,roc_auc_score_test,time_pred,model_size,model_weights,model_parameters_non_zero,model_sparsity
1,Adagrad,256,relu,,4.50000000,10.00000000,0.59781048,0.59884109,0.07127914,0.69977778,0.82337552,0.69993326,0.99968254,0.49984127,0.70100000,0.82401671,0.70070707,1.00000000,0.50166667,0.15711467,121836.00000000,12801.00000000,12800.90000000,0.00100000
2,Adadelta,256,relu,,4.50000000,10.00000000,0.69366800,0.69222279,0.07596099,0.53011111,0.57753586,0.69088328,0.57412698,0.50076720,0.53100000,0.58440016,0.71178885,0.57428571,0.50214286,0.18406434,174613.00000000,12801.00000000,12800.80000000,0.00200000
3,Adam,256,relu,,4.50000000,10.00000000,0.41674834,0.50826819,0.07108459,0.81955556,0.87772130,0.83525648,0.92507936,0.74920635,0.74900000,0.83089776,0.78651017,0.88142857,0.66071429,0.16265624,174642.00000000,12801.00000000,12800.90000000,0.00100000
4,Adamax,256,relu,,4.50000000,10.00000000,0.48250074,0.51482466,0.07278008,0.76533333,0.84905264,0.77226110,0.94285714,0.64698413,0.72600000,0.82421318,0.74806515,0.91857143,0.59761905,0.15011866,174628.00000000,12801.00000000,12800.60000000,0.00400000
5,Ftrl,256,relu,,4.50000000,10.00000000,0.68776974,0.68760815,0.08062932,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17971005,174765.00000000,12801.00000000,11375.20000000,11.13800000
6,SGD,256,relu,,4.50000000,10.00000000,0.56719002,0.57372362,0.06798120,0.70033333,0.82369099,0.70023359,1.00000000,0.50055556,0.70100000,0.82401671,0.70070707,1.00000000,0.50166667,0.17315955,69519.00000000,12801.00000000,12800.90000000,0.00100000
7,Adagrad,256,relu,l1,4.50000000,10.00000000,8.30731010,8.26139412,0.07204309,0.70000000,0.82336697,0.70031265,0.99888889,0.50074074,0.70100000,0.82401671,0.70070707,1.00000000,0.50166667,0.17300212,121949.00000000,12801.00000000,12801.00000000,0.00000000
8,Adadelta,256,relu,l1,4.50000000,10.00000000,9.24496698,9.24096994,0.08281715,0.58533333,0.68077277,0.71012608,0.70619048,0.50476190,0.60200000,0.69830720,0.71418347,0.73285714,0.51476190,0.17541864,174726.00000000,12801.00000000,12800.90000000,0.00100000
9,Adam,256,relu,l1,4.50000000,10.00000000,0.62250713,0.62199171,0.07394984,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17305946,174755.00000000,12801.00000000,12801.00000000,0.00000000
10,Adamax,256,relu,l1,4.50000000,10.00000000,0.72217849,0.70659689,0.08510644,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16884925,174741.00000000,12801.00000000,12801.00000000,0.00000000
11,Ftrl,256,relu,l1,4.50000000,10.00000000,0.68949184,0.68933981,0.10116656,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.20001814,174878.00000000,12801.00000000,12799.80000000,0.01000000
12,SGD,256,relu,l1,4.50000000,10.00000000,6.16778603,6.01754084,0.08396211,0.70011111,0.82358327,0.70007786,1.00000000,0.50018518,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.19506066,69632.00000000,12801.00000000,12801.00000000,0.00000000
13,Adagrad,256,relu,l2,4.50000000,10.00000000,1.37929298,1.37889389,0.08677695,0.69977778,0.82328251,0.70011104,0.99904762,0.50026455,0.70300000,0.82500880,0.70216495,1.00000000,0.50500000,0.19171176,121933.00000000,12801.00000000,12801.00000000,0.00000000
14,Adadelta,256,relu,l2,4.50000000,10.00000000,1.48777487,1.48133531,0.09578090,0.55811111,0.61138617,0.70619204,0.62063492,0.51642857,0.56400000,0.61197649,0.70282978,0.62714286,0.52190476,0.19089556,174710.00000000,12801.00000000,12800.90000000,0.00100000
15,Adam,256,relu,l2,4.50000000,10.00000000,0.53184681,0.55741686,0.08016856,0.77666667,0.85423670,0.78722048,0.93476190,0.67126984,0.74100000,0.83141708,0.76441493,0.91285714,0.62642857,0.16340942,174739.00000000,12801.00000000,12800.90000000,0.00100000
16,Adamax,256,relu,l2,4.50000000,10.00000000,0.67861608,0.69400542,0.09033973,0.74544444,0.84161450,0.74569921,0.96603175,0.59838624,0.72400000,0.82984732,0.73018261,0.96142857,0.56571429,0.18489635,174725.00000000,12801.00000000,12800.90000000,0.00100000
17,Ftrl,256,relu,l2,4.50000000,10.00000000,0.68774198,0.68757429,0.08866723,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18574378,174862.00000000,12801.00000000,12801.00000000,0.00000000
18,SGD,256,relu,l2,4.50000000,10.00000000,1.29261463,1.29143500,0.08166358,0.70044444,0.82374506,0.70031198,1.00000000,0.50074074,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.19267168,69616.00000000,12801.00000000,12801.00000000,0.00000000
19,Adagrad,256,elu,,4.50000000,10.00000000,0.58217764,0.58389609,0.09775152,0.69988889,0.82317496,0.70050347,0.99793651,0.50119048,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.21882119,121835.00000000,12801.00000000,12801.00000000,0.00000000
20,Adadelta,256,elu,,4.50000000,10.00000000,0.68755099,0.67978343,0.07628548,0.55477778,0.63528504,0.68473064,0.65603175,0.48727513,0.58400000,0.65449636,0.69094528,0.69285714,0.51142857,0.16655180,174612.00000000,12801.00000000,12801.00000000,0.00000000
21,Adam,256,elu,,4.50000000,10.00000000,0.45994620,0.50723112,0.09705040,0.78555556,0.85691110,0.80445153,0.91714286,0.69783069,0.75900000,0.84031132,0.78388981,0.90714286,0.66023809,0.21367579,174641.00000000,12801.00000000,12801.00000000,0.00000000
22,Adamax,256,elu,,4.50000000,10.00000000,0.48156485,0.50904092,0.08656442,0.76300000,0.84419743,0.78220648,0.91714286,0.66023810,0.72800000,0.82158842,0.76092547,0.89428571,0.61714286,0.17877142,174627.00000000,12801.00000000,12801.00000000,0.00000000
23,Ftrl,256,elu,,4.50000000,10.00000000,0.68768381,0.68751931,0.09424059,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.19769123,174764.00000000,12801.00000000,12801.00000000,0.00000000
24,SGD,256,elu,,4.50000000,10.00000000,0.54407696,0.54955356,0.09016750,0.70955556,0.82705042,0.70911895,0.99206349,0.52121693,0.70800000,0.82616753,0.70817278,0.99142857,0.51904762,0.19685221,69518.00000000,12801.00000000,12801.00000000,0.00000000
25,Adagrad,256,elu,l1,4.50000000,10.00000000,8.26390228,8.21948557,0.09211929,0.70088889,0.82379929,0.70094148,0.99888889,0.50222222,0.70200000,0.82450400,0.70141414,1.00000000,0.50333333,0.21068616,121948.00000000,12801.00000000,12801.00000000,0.00000000
26,Adadelta,256,elu,l1,4.50000000,10.00000000,9.26779270,9.26510315,0.09050891,0.54000000,0.59482303,0.71049724,0.57761905,0.51492063,0.53500000,0.59752533,0.70462823,0.57857143,0.50595238,0.21680772,174725.00000000,12801.00000000,12801.00000000,0.00000000
27,Adam,256,elu,l1,4.50000000,10.00000000,0.62516382,0.62443553,0.08505614,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18757112,174754.00000000,12801.00000000,12801.00000000,0.00000000
28,Adamax,256,elu,l1,4.50000000,10.00000000,0.80618809,0.77396753,0.10157042,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.23539038,174740.00000000,12801.00000000,12801.00000000,0.00000000
29,Ftrl,256,elu,l1,4.50000000,10.00000000,0.68947451,0.68935498,0.08120487,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18179150,174877.00000000,12801.00000000,12801.00000000,0.00000000
30,SGD,256,elu,l1,4.50000000,10.00000000,6.14010448,5.99329181,0.07672660,0.70233333,0.82438666,0.70218683,0.99809524,0.50515873,0.70200000,0.82410383,0.70226596,0.99714286,0.50523809,0.19002287,69631.00000000,12801.00000000,12801.00000000,0.00000000
31,Adagrad,256,elu,l2,4.50000000,10.00000000,1.36477876,1.36471707,0.13211057,0.69977778,0.82305109,0.70055914,0.99746032,0.50132275,0.69900000,0.82240476,0.70050713,0.99571429,0.50119048,0.42911451,121932.00000000,12801.00000000,12801.00000000,0.00000000
32,Adadelta,256,elu,l2,4.50000000,10.00000000,1.49201005,1.49310663,0.09414275,0.56666667,0.63668638,0.71908752,0.63047619,0.52412698,0.54800000,0.61687856,0.70432667,0.61000000,0.50666667,0.24249511,174709.00000000,12801.00000000,12801.00000000,0.00000000
33,Adam,256,elu,l2,4.50000000,10.00000000,0.54299978,0.56643144,0.10162160,0.76966666,0.84788821,0.78938273,0.91714286,0.67134921,0.73600000,0.82619960,0.76783426,0.89714286,0.62857143,0.25955076,174738.00000000,12801.00000000,12801.00000000,0.00000000
34,Adamax,256,elu,l2,4.50000000,10.00000000,0.72091296,0.73160815,0.09590428,0.75211111,0.84211191,0.75997932,0.94428571,0.62399471,0.73100000,0.82895204,0.74733046,0.93142857,0.59738095,0.21265080,174724.00000000,12801.00000000,12801.00000000,0.00000000
35,Ftrl,256,elu,l2,4.50000000,10.00000000,0.68769547,0.68753034,0.10531502,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.21803672,174861.00000000,12801.00000000,12801.00000000,0.00000000
36,SGD,256,elu,l2,4.50000000,10.00000000,1.27392243,1.27463554,0.08151968,0.70666667,0.82555718,0.70717733,0.99158730,0.51671958,0.70600000,0.82544381,0.70638629,0.99285714,0.51476191,0.19770081,69615.00000000,12801.00000000,12801.00000000,0.00000000
37,Adagrad,256,sigmoid,,4.50000000,10.00000000,0.60958421,0.60870148,0.07752407,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18049054,121839.00000000,12801.00000000,12801.00000000,0.00000000
38,Adadelta,256,sigmoid,,4.50000000,10.00000000,0.71395559,0.71347872,0.08646655,0.53933333,0.52891791,0.49562919,0.58809524,0.50682540,0.54100000,0.53360776,0.49200546,0.59714286,0.50357143,0.18290005,174616.00000000,12801.00000000,12801.00000000,0.00000000
39,Adam,256,sigmoid,,4.50000000,10.00000000,0.49521324,0.51739847,0.07790112,0.75222222,0.84119195,0.76358545,0.93746032,0.62873016,0.72900000,0.82628423,0.74976688,0.92142857,0.60071429,0.16223783,174645.00000000,12801.00000000,12801.00000000,0.00000000
40,Adamax,256,sigmoid,,4.50000000,10.00000000,0.54168882,0.54779750,0.08542831,0.70744444,0.82638662,0.70687152,0.99460318,0.51600529,0.70300000,0.82373529,0.70458876,0.99142857,0.51071428,0.17744997,174631.00000000,12801.00000000,12801.00000000,0.00000000
41,Ftrl,256,sigmoid,,4.50000000,10.00000000,0.61106532,0.61087098,0.08849409,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17256088,174768.00000000,12801.00000000,12801.00000000,0.00000000
42,SGD,256,sigmoid,,4.50000000,10.00000000,0.60475377,0.60396461,0.08698323,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.19184690,69522.00000000,12801.00000000,12801.00000000,0.00000000
43,Adagrad,256,sigmoid,l1,4.50000000,10.00000000,8.28373489,8.23419142,0.07326894,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17200220,121952.00000000,12801.00000000,12801.00000000,0.00000000
44,Adadelta,256,sigmoid,l1,4.50000000,10.00000000,9.32850122,9.32629929,0.08553493,0.51322222,0.45848003,0.41808511,0.53555556,0.49833333,0.50800000,0.45214932,0.41176471,0.53000000,0.49333333,0.18633044,174729.00000000,12801.00000000,12801.00000000,0.00000000
45,Adam,256,sigmoid,l1,4.50000000,10.00000000,0.62967054,0.62764120,0.08526523,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17557912,174758.00000000,12801.00000000,12801.00000000,0.00000000
46,Adamax,256,sigmoid,l1,4.50000000,10.00000000,0.62533149,0.62432712,0.07670650,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18108709,174744.00000000,12801.00000000,12801.00000000,0.00000000
47,Ftrl,256,sigmoid,l1,4.50000000,10.00000000,0.61285536,0.61261534,0.08329484,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.19040539,174881.00000000,12801.00000000,12801.00000000,0.00000000
48,SGD,256,sigmoid,l1,4.50000000,10.00000000,6.22360868,6.07340150,0.07203047,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17634008,69635.00000000,12801.00000000,12801.00000000,0.00000000
49,Adagrad,256,sigmoid,l2,4.50000000,10.00000000,1.39002063,1.38918335,0.07962410,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18953793,121936.00000000,12801.00000000,12801.00000000,0.00000000
50,Adadelta,256,sigmoid,l2,4.50000000,10.00000000,1.54733822,1.54617397,0.11630654,0.42066667,0.25229531,0.52663330,0.30253968,0.49941799,0.42100000,0.24987572,0.31000000,0.30142857,0.50071429,0.27411430,174713.00000000,12801.00000000,12801.00000000,0.00000000
51,Adam,256,sigmoid,l2,4.50000000,10.00000000,0.58676279,0.59069954,0.08890662,0.70100000,0.82401465,0.70070199,1.00000000,0.50166667,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.20329914,174742.00000000,12801.00000000,12801.00000000,0.00000000
52,Adamax,256,sigmoid,l2,4.50000000,10.00000000,0.62877534,0.62772982,0.10388083,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22263718,174728.00000000,12801.00000000,12801.00000000,0.00000000
53,Ftrl,256,sigmoid,l2,4.50000000,10.00000000,0.61106386,0.61087989,0.10690794,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22513921,174865.00000000,12801.00000000,12801.00000000,0.00000000
