model_num,optimizer,units,activation,kernel_regularizer,fold,epoch,loss,val_loss,time_train,accuracy_score_train,f1_score_train,precision_score_train,recall_score_train,roc_auc_score_train,accuracy_score_test,f1_score_test,precision_score_test,recall_score_test,roc_auc_score_test,time_pred,model_size,model_layers,model_weights,model_parameters_non_zero,model_sparsity
1,Adagrad,256,relu,,4.50000000,10.00000000,0.59811788,0.59698589,0.09569266,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.15863032,652158.00000000,3.00000000,78593.00000000,78592.10000000,0.00000000
2,Adadelta,256,relu,,4.50000000,10.00000000,0.67103279,0.66835505,0.13333092,0.63188889,0.74457935,0.70377751,0.81841270,0.50753968,0.65600000,0.76881463,0.71951118,0.85142857,0.52571429,0.19801400,968647.00000000,3.00000000,78593.00000000,78591.80000000,0.00000000
3,Adam,256,relu,,4.50000000,10.00000000,0.24247511,0.63380158,0.11179264,0.93733333,0.95575024,0.94730964,0.96523809,0.91873016,0.73200000,0.81131928,0.79972978,0.82571429,0.66952381,0.15863659,968676.00000000,3.00000000,78593.00000000,78592.70000000,0.00000000
4,Adamax,256,relu,,4.50000000,10.00000000,0.41303715,0.51382501,0.10697980,0.82022222,0.87649594,0.84477686,0.91111111,0.75962963,0.74200000,0.82264267,0.79304267,0.85714286,0.66523810,0.19394419,968662.00000000,3.00000000,78593.00000000,78592.10000000,0.00000000
5,Ftrl,256,relu,,4.50000000,10.00000000,0.68779178,0.68762941,0.11528125,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16856689,968799.00000000,3.00000000,78593.00000000,70009.80000000,10.92200000
6,SGD,256,relu,,4.50000000,10.00000000,0.56880995,0.57161022,0.09087298,0.70022222,0.82363713,0.70015573,1.00000000,0.50037037,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16587524,336129.00000000,3.00000000,78593.00000000,78591.90000000,0.00000000
7,Adagrad,256,relu,l1,4.50000000,10.00000000,38.61805344,38.31037254,0.09663796,0.70011111,0.82358327,0.70007786,1.00000000,0.50018518,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16845195,652384.00000000,3.00000000,78593.00000000,78591.20000000,0.00100000
8,Adadelta,256,relu,l1,4.50000000,10.00000000,44.46645012,44.44748955,0.10982935,0.53955556,0.59468169,0.70211385,0.61412698,0.48984127,0.53800000,0.57853670,0.65855785,0.59571429,0.49952381,0.16475317,968873.00000000,3.00000000,78593.00000000,78591.10000000,0.00200000
9,Adam,256,relu,l1,4.50000000,10.00000000,0.70683163,0.70627284,0.22708263,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16488509,968902.00000000,3.00000000,78593.00000000,78593.00000000,0.00000000
10,Adamax,256,relu,l1,4.50000000,10.00000000,0.71522233,0.71129549,0.10696368,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.15004640,968888.00000000,3.00000000,78593.00000000,78593.00000000,0.00000000
11,Ftrl,256,relu,l1,4.50000000,10.00000000,0.69863829,0.69963393,0.11491272,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.15972655,969025.00000000,3.00000000,78593.00000000,78326.90000000,0.33900000
12,SGD,256,relu,l1,4.50000000,10.00000000,25.95591717,25.06043911,0.09416137,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17721996,336355.00000000,3.00000000,78593.00000000,78592.00000000,0.00000000
13,Adagrad,256,relu,l2,4.50000000,10.00000000,3.84762926,3.84386804,0.09911108,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16906362,652352.00000000,3.00000000,78593.00000000,78591.60000000,0.00000000
14,Adadelta,256,relu,l2,4.50000000,10.00000000,4.03117199,4.02876959,0.10752652,0.51922222,0.55886192,0.73090516,0.54888889,0.49944444,0.52900000,0.56550624,0.62505856,0.56714286,0.50357143,0.17446656,968841.00000000,3.00000000,78593.00000000,78591.80000000,0.00000000
15,Adam,256,relu,l2,4.50000000,10.00000000,0.53693386,0.57979438,0.10125444,0.78400000,0.85546079,0.80624052,0.91365079,0.69756614,0.74600000,0.83146874,0.78155115,0.89285714,0.64809524,0.15715165,968870.00000000,3.00000000,78593.00000000,78592.60000000,0.00000000
16,Adamax,256,relu,l2,4.50000000,10.00000000,0.76983656,0.78588582,0.11692247,0.77044444,0.84829581,0.78960400,0.91698413,0.67275132,0.74100000,0.82837572,0.77390699,0.89428571,0.63880952,0.16168613,968856.00000000,3.00000000,78593.00000000,78592.00000000,0.00000000
17,Ftrl,256,relu,l2,4.50000000,10.00000000,0.68777209,0.68762014,0.11101291,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16389072,968993.00000000,3.00000000,78593.00000000,78593.00000000,0.00000000
18,SGD,256,relu,l2,4.50000000,10.00000000,3.59695687,3.58225472,0.16196306,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.56346552,336323.00000000,3.00000000,78593.00000000,78592.10000000,0.00000000
