model_num,model_class,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,fold,time_train,model_size,time_pred,accuracy_score_train,f1_score_train,precision_score_train,recall_score_train,roc_auc_score_train,accuracy_score_test,f1_score_test,precision_score_test,recall_score_test,roc_auc_score_test
600.0,LogisticRegression,2,balanced,False,True,1,,100,deprecated,,l2,20,liblinear,0.01,0,False,4.5,0.01873906,1664.0,0.00423708,0.75344444,0.80840697,0.88606733,0.74333333,0.76018518,0.716,0.77900975,0.85179175,0.72,0.71333334
601.0,LogisticRegression,2,balanced,False,True,1,,100,deprecated,,l2,20,sag,0.01,0,False,4.5,0.05970495,1658.0,0.00253718,0.75155556,0.80641447,0.8867395,0.73952381,0.75957672,0.719,0.78111463,0.85464544,0.72142857,0.71738095
602.0,LogisticRegression,2,balanced,False,True,1,,100,deprecated,,l2,20,saga,0.01,0,False,4.5,0.05757644,1659.0,0.00221143,0.75266667,0.80772947,0.88578028,0.74238095,0.75952381,0.717,0.77961353,0.85314863,0.72,0.715
603.0,LogisticRegression,2,balanced,False,True,1,,100,deprecated,,l2,21,liblinear,0.01,0,False,4.5,0.01622455,1664.0,0.00623543,0.75344444,0.80840697,0.88606733,0.74333333,0.76018518,0.716,0.77900975,0.85179175,0.72,0.71333334
604.0,LogisticRegression,2,balanced,False,True,1,,100,deprecated,,l2,21,sag,0.01,0,False,4.5,0.0680311,1658.0,0.00430102,0.753,0.80775246,0.88703183,0.7415873,0.76060847,0.718,0.78021465,0.85441503,0.72,0.71666667
605.0,LogisticRegression,2,balanced,False,True,1,,100,deprecated,,l2,21,saga,0.01,0,False,4.5,0.04884973,1659.0,0.00207736,0.752,0.80713479,0.88549841,0.7415873,0.7589418,0.717,0.77961353,0.85314863,0.72,0.715
606.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,,lbfgs,0.01,0,False,4.5,0.02114139,1649.0,0.00286255,0.76177778,0.83956946,0.79418838,0.89047619,0.67597884,0.737,0.82318608,0.77899218,0.87428571,0.64547619
607.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,,newton-cg,0.01,0,False,4.5,0.00976696,1653.0,0.0023531,0.78633333,0.85498778,0.81442727,0.89984127,0.71066138,0.754,0.83449607,0.79033498,0.88571428,0.66619048
608.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,,newton-cholesky,0.01,0,False,4.5,0.08819177,1659.0,0.00209951,0.78711111,0.85549959,0.81495988,0.90031746,0.71164021,0.752,0.83110314,0.79343433,0.87428571,0.67047619
609.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,20,liblinear,0.01,0,False,4.5,0.00697768,1625.0,0.00422585,0.78744445,0.85569171,0.81531028,0.90031746,0.71219577,0.753,0.83150312,0.79533173,0.87285714,0.67309524
610.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,20,sag,0.01,0,False,4.5,0.03928936,1648.0,0.00225413,0.78733333,0.85562462,0.81519442,0.90031746,0.71201058,0.753,0.83187272,0.79368749,0.87571428,0.67119048
611.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,20,saga,0.01,0,False,4.5,0.0295783,1649.0,0.00233667,0.78722222,0.85554474,0.81517466,0.90015873,0.71193122,0.754,0.83210046,0.79640144,0.87285714,0.67476191
612.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,21,liblinear,0.01,0,False,4.5,0.00698056,1625.0,0.00228376,0.78744445,0.85569171,0.81531028,0.90031746,0.71219577,0.753,0.83150312,0.79533173,0.87285714,0.67309524
613.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,21,sag,0.01,0,False,4.5,0.02831638,1648.0,0.00239551,0.78666667,0.85506767,0.8152256,0.89904762,0.71174603,0.752,0.83043896,0.79586759,0.87,0.67333333
614.0,LogisticRegression,2,,False,False,1,,100,deprecated,,l2,21,saga,0.01,0,False,4.5,0.02723265,1649.0,0.00237827,0.78722222,0.85554513,0.81517376,0.90015873,0.71193122,0.753,0.83153202,0.79535906,0.87285714,0.67309524
615.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,,lbfgs,0.01,0,False,4.5,0.00710104,1659.0,0.00217791,0.74266667,0.79991565,0.87755213,0.73492063,0.74783069,0.715,0.77787318,0.8524919,0.71714286,0.71357143
616.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,,newton-cg,0.01,0,False,4.5,0.00718095,1663.0,0.00226035,0.74288889,0.8001421,0.87727115,0.73555556,0.74777778,0.716,0.77822909,0.85560707,0.71571428,0.71619048
617.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,,newton-cholesky,0.01,0,False,4.5,0.19871788,1669.0,0.00310748,0.75144444,0.8071098,0.88321958,0.7431746,0.75695767,0.713,0.77614774,0.8517462,0.71571429,0.71119048
618.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,20,liblinear,0.01,0,False,4.5,0.00861843,1635.0,0.00232422,0.75233333,0.8079686,0.88325229,0.74460317,0.75748677,0.714,0.7773428,0.85081185,0.71857143,0.71095238
619.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,20,sag,0.01,0,False,4.5,0.05170383,1658.0,0.00228646,0.75166667,0.80724315,0.88354377,0.7431746,0.75732804,0.715,0.77827792,0.85084536,0.72,0.71166667
620.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,20,saga,0.01,0,False,4.5,0.04342828,1659.0,0.0041316,0.75222222,0.80780236,0.88353324,0.74412698,0.75761905,0.714,0.7773428,0.85081185,0.71857143,0.71095238
621.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,21,liblinear,0.01,0,False,4.5,0.00796816,1635.0,0.00335708,0.75233333,0.8079686,0.88325229,0.74460317,0.75748677,0.714,0.7773428,0.85081185,0.71857143,0.71095238
622.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,21,sag,0.01,0,False,4.5,0.06284745,1658.0,0.00428674,0.75188889,0.80761316,0.88286845,0.74428571,0.75695767,0.715,0.77829518,0.85097418,0.72,0.71166667
623.0,LogisticRegression,2,balanced,False,False,1,,100,deprecated,,l2,21,saga,0.01,0,False,4.5,0.03375497,1659.0,0.0021486,0.75155556,0.80722347,0.88325266,0.74333333,0.75703704,0.714,0.77746107,0.85076106,0.71857143,0.71095238
624.0,LogisticRegression,0.5,,True,True,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.01028295,1661.0,0.00214665,0.78477778,0.85537496,0.80757211,0.90920635,0.7018254,0.749,0.8313883,0.78639026,0.88428571,0.65880952
625.0,LogisticRegression,0.5,,True,True,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.01689925,1661.0,0.00366898,0.78477778,0.85537496,0.80757211,0.90920635,0.7018254,0.749,0.8313883,0.78639026,0.88428571,0.65880952
626.0,LogisticRegression,0.5,balanced,True,True,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.01374464,1671.0,0.00409822,0.74788889,0.80382827,0.88251516,0.73809524,0.75441799,0.716,0.7793654,0.85077154,0.72142857,0.71238095
627.0,LogisticRegression,0.5,balanced,True,True,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.01954439,1671.0,0.00210733,0.74788889,0.80382827,0.88251516,0.73809524,0.75441799,0.716,0.7793654,0.85077154,0.72142857,0.71238095
628.0,LogisticRegression,0.5,,True,False,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.00976081,1632.0,0.00213766,0.78444445,0.85524983,0.80697741,0.90968254,0.70095238,0.75,0.83195323,0.78698832,0.88428571,0.66047619
629.0,LogisticRegression,0.5,,True,False,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.00977178,1632.0,0.00212979,0.78444445,0.85524983,0.80697741,0.90968254,0.70095238,0.75,0.83195323,0.78698832,0.88428571,0.66047619
630.0,LogisticRegression,0.5,balanced,True,False,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.01189795,1642.0,0.00218747,0.74788889,0.80427231,0.88062795,0.74015873,0.75304233,0.713,0.77735116,0.84808157,0.72,0.70833333
631.0,LogisticRegression,0.5,balanced,True,False,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.01132884,1642.0,0.00251622,0.74788889,0.80427231,0.88062795,0.74015873,0.75304233,0.713,0.77735116,0.84808157,0.72,0.70833333
632.0,LogisticRegression,1.0,,True,True,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.0276355,1661.0,0.0021035,0.78622222,0.85533783,0.81258969,0.90285714,0.70846561,0.752,0.83162801,0.79268577,0.87714286,0.66857143
633.0,LogisticRegression,1.0,,True,True,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.01819272,1661.0,0.00374854,0.78622222,0.85533783,0.81258969,0.90285714,0.70846561,0.752,0.83162801,0.79268577,0.87714286,0.66857143
634.0,LogisticRegression,1.0,balanced,True,True,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.02705173,1671.0,0.00265198,0.75066667,0.80616526,0.88405659,0.74095238,0.75714286,0.712,0.77519757,0.84964611,0.71571429,0.70952381
635.0,LogisticRegression,1.0,balanced,True,True,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.03129826,1671.0,0.00273252,0.75066667,0.80616526,0.88405659,0.74095238,0.75714286,0.712,0.77519757,0.84964611,0.71571429,0.70952381
636.0,LogisticRegression,1.0,,True,False,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.01933475,1632.0,0.00220366,0.78711111,0.85598212,0.81298409,0.90380952,0.70931217,0.752,0.83171514,0.79221231,0.87714286,0.66857143
637.0,LogisticRegression,1.0,,True,False,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.01584399,1632.0,0.0023957,0.78711111,0.85598212,0.81298409,0.90380952,0.70931217,0.752,0.83171514,0.79221231,0.87714286,0.66857143
638.0,LogisticRegression,1.0,balanced,True,False,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.02461109,1642.0,0.00241818,0.75044444,0.80642637,0.88200528,0.74285714,0.75550264,0.715,0.77803297,0.85213729,0.71857143,0.71261905
639.0,LogisticRegression,1.0,balanced,True,False,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.03158455,1642.0,0.00218244,0.75044444,0.80642637,0.88200528,0.74285714,0.75550264,0.715,0.77803297,0.85213729,0.71857143,0.71261905
640.0,LogisticRegression,1.5,,True,True,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.02268231,1661.0,0.00246727,0.78666667,0.8552673,0.81440384,0.90047619,0.71079365,0.756,0.83435486,0.79500577,0.88,0.67333333
641.0,LogisticRegression,1.5,,True,True,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.0181833,1661.0,0.00223415,0.78666667,0.8552673,0.81440384,0.90047619,0.71079365,0.756,0.83435486,0.79500577,0.88,0.67333333
642.0,LogisticRegression,1.5,balanced,True,True,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.02049022,1671.0,0.00230193,0.75177778,0.8070913,0.88471971,0.74206349,0.75825397,0.714,0.77658156,0.85248209,0.71571429,0.71285714
643.0,LogisticRegression,1.5,balanced,True,True,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.02097208,1671.0,0.00250139,0.75177778,0.8070913,0.88471971,0.74206349,0.75825397,0.714,0.77658156,0.85248209,0.71571429,0.71285714
644.0,LogisticRegression,1.5,,True,False,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.02023399,1632.0,0.00224643,0.78788889,0.85610455,0.8151477,0.90142857,0.71219577,0.754,0.83261318,0.79476831,0.87571428,0.67285714
645.0,LogisticRegression,1.5,,True,False,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.02209358,1632.0,0.00219975,0.78788889,0.85610455,0.8151477,0.90142857,0.71219577,0.754,0.83261318,0.79476831,0.87571428,0.67285714
646.0,LogisticRegression,1.5,balanced,True,False,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.04274652,1642.0,0.00637541,0.75111111,0.80686907,0.88286005,0.74301587,0.75650794,0.714,0.77707988,0.8517183,0.71714286,0.71190476
647.0,LogisticRegression,1.5,balanced,True,False,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.02159281,1642.0,0.0022902,0.75111111,0.80686907,0.88286005,0.74301587,0.75650794,0.714,0.77707988,0.8517183,0.71714286,0.71190476
648.0,LogisticRegression,2,,True,True,1,,100,deprecated,,l2,20,liblinear,1e-06,0,False,4.5,0.01974046,1654.0,0.00235517,0.78666667,0.85513712,0.81494964,0.89952381,0.71142857,0.757,0.83462543,0.79674871,0.87857143,0.67595238
649.0,LogisticRegression,2,,True,True,1,,100,deprecated,,l2,21,liblinear,1e-06,0,False,4.5,0.01943212,1654.0,0.00264852,0.78666667,0.85513712,0.81494964,0.89952381,0.71142857,0.757,0.83462543,0.79674871,0.87857143,0.67595238
